drawing,class,gt,tp_strong,fp_strong,fn_strong,tp_all,fp_all,fn_all,gate_states,ball_states,fold
25VHO64PU00101,gate,0,0,1,0,0,1,0,0o/1c,,1
25VHO64PU00101,reducer,5,2,0,3,3,1,2,,,1
25VHO71PW00101,check_valve,0,0,2,0,0,2,0,,,1
25VHO71PW00101,reducer,19,12,14,7,13,42,6,,,1
25WHO71PW00101,gate,15,14,22,1,14,22,1,33o/3c,,1
25WHO71PW00101,ball,0,0,0,0,0,1,0,,1o/0c,1
25WHO71PW00101,globe_valve,0,0,1,0,0,3,0,,,1
25WHO71PW00101,check_valve,7,7,19,0,7,20,0,,,1
25WHO71PW00101,butterfly_valve,17,2,0,15,3,0,14,,,1
25WHO71PW00101,reducer,25,19,5,6,20,8,5,,,1
25WHO71PW00101,other_valve,4,2,8,2,3,14,1,,,1
25VHA24PE00101,gate,12,5,0,7,8,0,4,4o/4c,,2
25VHA24PE00101,ball,0,0,0,0,0,1,0,,1o/0c,2
25VHA24PE00101,globe_valve,6,3,6,3,4,13,2,,,2
25VHA24PE00101,check_valve,2,2,0,0,2,0,0,,,2
25VHA24PE00101,reducer,6,4,0,2,4,0,2,,,2
25VHA24PE00101,other_valve,2,0,2,2,0,4,2,,,2
25WHO13PE00401,gate,28,9,4,19,12,6,16,9o/9c,,2
25WHO13PE00401,ball,7,4,0,3,6,1,1,,4o/3c,2
25WHO13PE00401,globe_valve,6,2,1,4,3,3,3,,,2
25WHO13PE00401,check_valve,6,2,5,4,2,6,4,,,2
25WHO13PE00401,reducer,2,2,1,0,2,2,0,,,2
25WHO13PE00401,other_valve,11,1,12,10,4,24,7,,,2
25WHO63PU00501,gate,4,3,0,1,3,0,1,2o/1c,,2
25WHO63PU00501,ball,24,7,1,17,7,1,17,,1o/7c,2
25WHO63PU00501,globe_valve,0,0,0,0,0,1,0,,,2
25WHO63PU00501,check_valve,17,17,7,0,17,7,0,,,2
25WHO63PU00501,reducer,8,8,3,0,8,7,0,,,2
25WHO63PU00501,other_valve,1,0,0,1,0,4,1,,,2
25VHO27PE00101,gate,28,5,0,23,6,0,22,2o/4c,,3
25VHO27PE00101,ball,12,6,2,6,9,3,3,,2o/10c,3
25VHO27PE00101,globe_valve,2,0,1,2,2,1,0,,,3
25VHO27PE00101,check_valve,1,0,1,1,0,2,1,,,3
25VHO27PE00101,reducer,8,7,1,1,7,3,1,,,3
25VHO27PE00101,other_valve,8,3,3,5,4,10,4,,,3
25WHO11PE00101,butterfly_valve,1,0,0,1,0,0,1,,,3
25WHO11PE00101,reducer,2,1,0,1,1,0,1,,,3
25WHO20PE00101,gate,13,1,0,12,2,0,11,2o/0c,,3
25WHO20PE00101,ball,3,2,1,1,2,1,1,,0o/3c,3
25WHO20PE00101,globe_valve,5,5,0,0,5,0,0,,,3
25WHO20PE00101,check_valve,3,0,1,3,0,1,3,,,3
25WHO20PE00101,reducer,7,0,2,7,1,2,6,,,3
25WHO20PE00101,other_valve,6,1,1,5,3,2,3,,,3
